level_0,index,Date,Name,Points,FormatLat,IsBBOX,LatVec,LonVec
1049,1098,06/10/2019,"Gamma Radiation / Fort Wayne, Indiana, United States / 2014","Points:(40.966057--85.307378),(41.205465--85.003427)","(40.966057,-85.307378)|(41.205465,-85.003427)",True,"41.205465, 41.205465, 40.966057, 40.966057","-85.003427, -85.307378, -85.307378, -85.003427"
1055,1106,06/09/2019,"Annual Average Daily Vehicle Counts / Ingham County, Michigan, United States / 2014","Points:(42.769527--84.602162),(42.425155--84.140653)","(42.769527,-84.602162)|(42.425155,-84.140653)",True,"42.425155, 42.769527, 42.769527, 42.425155","-84.140653, -84.140653, -84.602162, -84.602162"
1056,1108,06/09/2019,"Annual Average Daily Vehicle Counts / Kalamazoo County, Michigan, United States / 2014","Points:(42.420713--85.766092),(42.071004--85.295053)","(42.420713,-85.766092)|(42.071004,-85.295053)",True,"42.071004, 42.420713, 42.420713, 42.071004","-85.295053, -85.295053, -85.766092, -85.766092"
1057,1118,06/04/2019,"Vehicle Counts / Kent County, Delaware, United States / 2018","Points:(38.8352--75.2956),(39.3844--75.7731)","(38.8352,-75.2956)|(39.3844,-75.7731)",True,"38.8352, 39.3844, 39.3844, 38.8352","-75.2956, -75.2956, -75.7731, -75.7731"
1058,1119,06/04/2019,"Vehicle Counts / New Castle County, Delaware, United States / 2018","Points:(39.3479--75.4008),(39.8429--75.7992)","(39.3479,-75.4008)|(39.8429,-75.7992)",True,"39.3479, 39.8429, 39.8429, 39.3479","-75.4008, -75.4008, -75.7992, -75.7992"
1059,1120,06/04/2019,"Vehicle Counts / Sussex County, Delaware, United States / 2018","Points:(38.4352--75.0211),(38.9864--75.7112)","(38.4352,-75.0211)|(38.9864,-75.7112)",True,"38.4352, 38.9864, 38.9864, 38.4352","-75.0211, -75.0211, -75.7112, -75.7112"
1060,1121,06/03/2019,"Annual Average Daily Vehicle Counts / Kent County, Michigan, United States / 2015","Points:(43.292945--85.788941),(42.771644--85.310207)","(43.292945,-85.788941)|(42.771644,-85.310207)",True,"42.771644, 43.292945, 43.292945, 42.771644","-85.310207, -85.310207, -85.788941, -85.788941"
1064,1129,06/03/2019,"Annual Average Daily Vehicle Counts / Oakland County, Michigan, United States / 2017","Points:(42.871043--83.684427),(42.447893--83.083612)","(42.871043,-83.684427)|(42.447893,-83.083612)",True,"42.447893, 42.871043, 42.871043, 42.447893","-83.083612, -83.083612, -83.684427, -83.684427"
1068,1136,06/03/2019,"Vehicle Counts / US 2, Peshastin, Washington, United States / 2014","Points:(47.555962-120.587467),(47.564473--120.60254)","(47.555962,120.587467)|(47.564473,-120.60254)",True,"47.564473, 47.564473, 47.555962, 47.555962","-120.60254, 120.587467, 120.587467, -120.60254"
1069,1137,06/03/2019,"Vehicle Counts / US 2, Peshastin, Washington, United States / 2015","Points:(47.555962--120.587467),(47.564473--120.60254)","(47.555962,-120.587467)|(47.564473,-120.60254)",True,"47.555962, 47.564473, 47.564473, 47.555962","-120.587467, -120.587467, -120.60254, -120.60254"
1074,1142,06/03/2019,"Vehicle Counts / I-5, Tumwater, Washington, United States / 2014","Points:(46.970508--122.932215),(47.009622--122.906538)","(46.970508,-122.932215)|(47.009622,-122.906538)",True,"47.009622, 47.009622, 46.970508, 46.970508","-122.906538, -122.932215, -122.932215, -122.906538"
1075,1143,06/02/2019,"Gamma Radiation / Des Moines, Iowa, United States / 2014","Points:(41.648026--93.49972),(41.478726--93.712312)","(41.648026,-93.49972)|(41.478726,-93.712312)",True,"41.648026, 41.648026, 41.478726, 41.478726","-93.49972, -93.712312, -93.712312, -93.49972"
1080,1148,06/02/2019,"Gamma Radiation / Mason City, Iowa, United States / 2014","Points:(43.186444--93.111204),(43.103373--93.281276)","(43.186444,-93.111204)|(43.103373,-93.281276)",True,"43.186444, 43.186444, 43.103373, 43.103373","-93.111204, -93.281276, -93.281276, -93.111204"
1085,1153,06/02/2019,"Gamma Radiation / Boise, Idaho, United States / 2014","Points:(43.692715--116.369857),(43.508866--116.0976)","(43.692715,-116.369857)|(43.508866,-116.0976)",True,"43.508866, 43.692715, 43.692715, 43.508866","-116.0976, -116.0976, -116.369857, -116.369857"
1090,1158,06/02/2019,"Gamma Radiation / Idaho Falls, Idaho, United States / 2014","Points:(43.431079--111.973396),(43.555192--112.097225)","(43.431079,-111.973396)|(43.555192,-112.097225)",True,"43.431079, 43.555192, 43.555192, 43.431079","-111.973396, -111.973396, -112.097225, -112.097225"
1097,1165,05/28/2019,"Gamma Radiation / Tampa, Florida, United States / 2014","Points:(28.176584--82.258239),(27.819446--82.558948)","(28.176584,-82.258239)|(27.819446,-82.558948)",True,"28.176584, 28.176584, 27.819446, 27.819446","-82.258239, -82.558948, -82.558948, -82.258239"
1102,1170,05/28/2019,"Gamma Radiation / Atlanta, Georgia, United States / 2014","Points:(33.892967--84.292408),(33.648326--84.560691)","(33.892967,-84.292408)|(33.648326,-84.560691)",True,"33.892967, 33.892967, 33.648326, 33.648326","-84.292408, -84.560691, -84.560691, -84.292408"
1107,1175,05/28/2019,"Gamma Radiation / Augusta, Georgia, United States / 2014","Points:(33.22538--82.366513),(33.561106--81.842073)","(33.22538,-82.366513)|(33.561106,-81.842073)",True,"33.561106, 33.561106, 33.22538, 33.22538","-81.842073, -82.366513, -82.366513, -81.842073"
1108,1176,05/28/2019,"Gamma Radiation / Augusta, Georgia, United States / 2015","Points:(33.561106--81.842073),(33.22538--82.366513)","(33.561106,-81.842073)|(33.22538,-82.366513)",True,"33.561106, 33.561106, 33.22538, 33.22538","-81.842073, -82.366513, -82.366513, -81.842073"
1112,1180,05/28/2019,"Gamma Radiation / Honolulu, Hawaii, United States / 2014","Points:(21.404763--157.951221),(21.248521--157.646652)","(21.404763,-157.951221)|(21.248521,-157.646652)",True,"21.248521, 21.404763, 21.404763, 21.248521","-157.646652, -157.646652, -157.951221, -157.951221"
1117,1185,05/12/2019,"Gamma Radiation / Jacksonville, Florida, United States / 2014","Points:(30.087593--82.111574),(30.610503--81.378496)","(30.087593,-82.111574)|(30.610503,-81.378496)",True,"30.610503, 30.610503, 30.087593, 30.087593","-81.378496, -82.111574, -82.111574, -81.378496"
1122,1195,05/12/2019,"Gamma Radiation / Orlando, Florida, United States / 2014","Points:(28.343901--81.230266),(28.618704--81.511008)","(28.343901,-81.230266)|(28.618704,-81.511008)",True,"28.343901, 28.618704, 28.618704, 28.343901","-81.230266, -81.230266, -81.511008, -81.511008"
1127,1200,05/12/2019,"Gamma Radiation / Tallahassee, Florida, United States / 2014","Points:(30.349873--84.391456),(30.588752--84.128029)","(30.349873,-84.391456)|(30.588752,-84.128029)",True,"30.588752, 30.588752, 30.349873, 30.349873","-84.128029, -84.391456, -84.391456, -84.128029"
1137,1210,04/25/2019,"Gamma Radiation / San Jose, California, United States / 2014","Points:(37.477734--122.049748),(37.118661-121.569526)","(37.477734,-122.049748)|(37.118661,121.569526)",True,"37.477734, 37.477734, 37.118661, 37.118661","-122.049748, 121.569526, 121.569526, -122.049748"
1142,1215,04/25/2019,"Gamma Radiation / Colorado Springs, Colorado, United States / 2014","Points:(38.709375--104.579066),(39.042941--104.913588)","(38.709375,-104.579066)|(39.042941,-104.913588)",True,"38.709375, 39.042941, 39.042941, 38.709375","-104.579066, -104.579066, -104.913588, -104.913588"
